op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name
ABS,597,43520.0,30.5769,-4.296392,313.89053,956.6258,419.979,-128,pf_net_dense/IsInf1
PAD,608,43520.0,29.096313,-2.4089282,217.89969,855.5018,435.86954,-119,pf_net_dense/Pad
STRIDED_SLICE,612,2560.0,0.0,0.0,0.0,0.0,435.86954,-119,pf_net_dense/input_encoding_clic/strided_slice
ONE_HOT,617,7680.0,26094.328,70319.95,107222.9,5625808400.0,435.86954,-119,pf_net_dense/input_encoding_clic/one_hot
STRIDED_SLICE,621,40960.0,0.0,0.0,0.0,0.0,435.86954,-119,pf_net_dense/input_encoding_clic/strided_slice_1
CONCATENATION,625,48640.0,0.0,0.0,0.0,0.0,435.86954,-119,pf_net_dense/input_encoding_clic/concat
RESHAPE,636,48640.0,0.0,0.0,0.0,0.0,435.86954,-119,pf_net_dense/node_encoding/node_encoding_dense_0/Tensordot/Reshape
EXPAND_DIMS,643,2560.0,0.0,0.0,0.0,0.0,0.003921569,-128,pf_net_dense/ExpandDims
STRIDED_SLICE,652,2560.0,0.0,0.0,0.0,0.0,0.003921569,-128,pf_net_dense/strided_slice_51
FULLY_CONNECTED,662,655360.0,88548.914,-6060.83,552808.06,7877641000.0,1256.538,105,pf_net_dense/node_encoding/node_encoding_dense_0/Tensordot/MatMul2
RESHAPE,666,655360.0,0.0,0.0,0.0,0.0,1256.538,105,pf_net_dense/node_encoding/node_encoding_dense_0/Tensordot
ADD,670,655360.0,1.8837426,0.65129805,7.09375,3.9726777,1256.5376,105,pf_net_dense/node_encoding/node_encoding_dense_0/BiasAdd
GELU,674,655360.0,70.81151,-34.013405,181.41797,6171.186,107.695724,-128,pf_net_dense/node_encoding/node_encoding_dense_0/Gelu/mul_1;pf_net_dense/Gelu/mul/x;pf_net_dense/node_encoding/node_encoding_dense_0/Gelu/mul;pf_net_dense/node_encoding/node_encoding_dense_0/Gelu/truediv;pf_net_dense/Gelu/Cast/x;pf_net_dense/node_encoding/node_encoding_dense_0/Gelu/Erf;pf_net_dense/Gelu/add/x;pf_net_dense/node_encoding/node_encoding_dense_0/Gelu/add
RESHAPE,685,655360.0,0.0,0.0,0.0,0.0,107.695724,-128,pf_net_dense/node_encoding/node_encoding_dense_1/Tensordot/Reshape
FULLY_CONNECTED,689,655360.0,128965.234,69099.305,1008683.4,21406734000.0,670.45557,55,pf_net_dense/node_encoding/node_encoding_dense_1/Tensordot/MatMul1
RESHAPE,693,655360.0,0.0,0.0,0.0,0.0,670.45557,55,pf_net_dense/node_encoding/node_encoding_dense_1/Tensordot
ADD,697,655360.0,0.74793386,0.44963616,6.625,0.7615782,670.4528,55,pf_net_dense/node_encoding/node_encoding_dense_1/BiasAdd
GELU,701,655360.0,18.663265,-2.5599265,88.86719,354.8703,189.12613,-128,pf_net_dense/Gelu/mul_1;pf_net_dense/Gelu/mul/x;pf_net_dense/Gelu/mul;pf_net_dense/node_encoding/node_encoding_dense_0/Gelu/truediv;pf_net_dense/Gelu/Cast/x;pf_net_dense/Gelu/truediv;pf_net_dense/Gelu/Cast/x;pf_net_dense/Gelu/Erf;pf_net_dense/Gelu/add/x;pf_net_dense/Gelu/add
MEAN,705,2560.0,0.24658301,-2073.528,2073.5347,4299517.0,6.1137915,-128,pf_net_dense/cg_id_0/cg_id_0_layernorm1/moments/mean
SQUARED_DIFFERENCE,709,655360.0,937582.1,-2171750.8,4232288.0,5595561700000.0,8540784.0,-128,pf_net_dense/cg_id_0/cg_id_0_layernorm1/moments/SquaredDifference
MEAN,713,2560.0,11436.116,-110270616.0,110303640.0,1.2159609e+16,88021.555,-128,pf_net_dense/cg_id_0/cg_id_0_layernorm1/moments/variance
ADD,717,2560.0,0.0,0.0,0.0,0.0,88021.555,-128,pf_net_dense/cg_id_0/cg_id_0_layernorm1/batchnorm/add
RSQRT,721,2560.0,2.910383e-11,-0.00021107428,0.0002110743,4.4552362e-08,0.0015432679,-128,pf_net_dense/cg_id_0/cg_id_0_layernorm1/batchnorm/Rsqrt
MUL,725,655360.0,0.0,0.0,0.0,0.0,0.0046363957,-128,pf_net_dense/cg_id_0/cg_id_0_layernorm1/batchnorm/mul
MUL,729,655360.0,0.0,0.0,0.0,0.0,0.042178616,-126,pf_net_dense/cg_id_0/cg_id_0_layernorm1/batchnorm/mul_1
MUL,733,655360.0,0.0,0.0,0.0,0.0,0.0055526276,-128,pf_net_dense/cg_id_0/cg_id_0_layernorm1/batchnorm/mul_2
SUB,737,655360.0,0.04991686,-0.020820413,0.3107292,0.0029251836,0.0050793723,95,pf_net_dense/cg_id_0/cg_id_0_layernorm1/batchnorm/sub
ADD,741,655360.0,0.014298527,0.0037138134,0.02207452,0.00021824052,0.045345236,-103,pf_net_dense/cg_id_0/cg_id_0_layernorm1/batchnorm/add_1
RESHAPE,752,655360.0,0.0,0.0,0.0,0.0,0.045345236,-103,pf_net_dense/cg_id_0/cg_id_0_ffn_dist/cg_id_0_ffn_dist_dense_0/Tensordot/Reshape
FULLY_CONNECTED,756,163840.0,0.06981234,-0.0066291974,0.13882458,0.00491771,0.23738296,29,pf_net_dense/cg_id_0/cg_id_0_ffn_dist/cg_id_0_ffn_dist_dense_0/Tensordot/MatMul1
RESHAPE,760,163840.0,0.0,0.0,0.0,0.0,0.23738296,29,pf_net_dense/cg_id_0/cg_id_0_ffn_dist/cg_id_0_ffn_dist_dense_0/Tensordot
ADD,764,163840.0,0.07384759,0.0031599042,0.11937261,0.0054634516,0.24316418,27,pf_net_dense/cg_id_0/cg_id_0_ffn_dist/cg_id_0_ffn_dist_dense_0/BiasAdd
RESHAPE,777,163840.0,0.026134988,-0.0018841714,0.04819727,0.0006865878,0.09887227,-118,pf_net_dense/cg_id_0/cg_id_0_ffn_dist/cg_id_0_ffn_dist_dense_1/Tensordot/Reshape
FULLY_CONNECTED,781,163840.0,0.23348716,-0.00584238,0.55238056,0.05455039,0.68216455,35,pf_net_dense/cg_id_0/cg_id_0_ffn_dist/cg_id_0_ffn_dist_dense_1/Tensordot/MatMul1
RESHAPE,785,163840.0,0.0,0.0,0.0,0.0,0.68216455,35,pf_net_dense/cg_id_0/cg_id_0_ffn_dist/cg_id_0_ffn_dist_dense_1/Tensordot
ADD,789,163840.0,0.17986383,-0.0036975623,0.33990422,0.032364666,0.68531185,34,pf_net_dense/cg_id_0/cg_id_0_ffn_dist/cg_id_0_ffn_dist_dense_1/BiasAdd
RESHAPE,802,163840.0,0.054147672,-0.011053502,0.114938736,0.0030541497,0.25261277,-124,pf_net_dense/cg_id_0/cg_id_0_ffn_dist/cg_id_0_ffn_dist_dense_2/Tensordot/Reshape
FULLY_CONNECTED,806,163840.0,0.35990787,-0.0007533729,0.8566437,0.12953424,1.1192465,42,pf_net_dense/cg_id_0/cg_id_0_ffn_dist/cg_id_0_ffn_dist_dense_2/Tensordot/MatMul1
RESHAPE,810,163840.0,0.0,0.0,0.0,0.0,1.1192465,42,pf_net_dense/cg_id_0/cg_id_0_ffn_dist/cg_id_0_ffn_dist_dense_2/Tensordot
ADD,814,163840.0,0.25889868,0.11755898,0.5436783,0.08084865,1.119554,42,pf_net_dense/cg_id_0/cg_id_0_ffn_dist/cg_id_0_ffn_dist_dense_2/BiasAdd
RESHAPE,827,163840.0,0.09219672,-0.093179695,0.17630768,0.01718269,0.37906164,-125,pf_net_dense/cg_id_0/cg_id_0_ffn_dist/cg_id_0_ffn_dist_dense_3/Tensordot/Reshape
FULLY_CONNECTED,831,327680.0,0.6528435,0.08938743,1.2289543,0.43419462,2.2236886,83,pf_net_dense/cg_id_0/cg_id_0_ffn_dist/cg_id_0_ffn_dist_dense_3/Tensordot/MatMul1
RESHAPE,835,327680.0,0.0,0.0,0.0,0.0,2.2236886,83,pf_net_dense/cg_id_0/cg_id_0_ffn_dist/cg_id_0_ffn_dist_dense_3/Tensordot
ADD,839,327680.0,0.31976384,-0.33011085,1.0000076,0.21122213,2.2209282,83,pf_net_dense/cg_id_0/cg_id_0_ffn_dist/cg_id_0_ffn_dist_dense_3/BiasAdd
FULLY_CONNECTED,845,2560.0,0.0,0.0056322813,0.0056322813,3.1722593e-05,0.258158,0,pf_net_dense/cg_id_0/message_building_layer_lsh/MatMul1
GATHER,865,327680.0,0.11572938,-0.061361782,0.1830101,0.017158566,0.3871687,-125,pf_net_dense/cg_id_0/message_building_layer_lsh/GatherV2;pf_net_dense/Const_1
GATHER,869,2560.0,0.0,0.0,0.0,0.0,0.003921569,-128,pf_net_dense/cg_id_0/message_building_layer_lsh/GatherV2_2;pf_net_dense/Const_1
MUL,873,327680.0,0.0,0.0,0.0,0.0,0.3871687,-125,pf_net_dense/cg_id_0/message_building_layer_lsh/cg_id_0_kernel/mul
SUM,879,2560.0,0.0,0.0,0.0,0.0,282.03314,-128,Sum
EXPAND_DIMS,883,2560.0,0.0,0.0,0.0,0.0,282.03314,-128,ExpandDims
BATCH_MATMUL,887,655360.0,0.0,0.0,0.0,0.0,290.05447,-121,MatMul
EXPAND_DIMS,891,2560.0,0.0,0.0,0.0,0.0,282.03314,-128,ExpandDims_1
MUL,895,655360.0,0.0,0.0,0.0,0.0,580.10895,-121,mul
SUB,899,655360.0,0.0,0.0,0.0,0.0,570.99115,-2,sub
ADD,903,655360.0,0.0,0.0,0.0,0.0,398.93756,-128,add1
MAXIMUM,907,655360.0,2.2737368e-13,-1.0000002e-06,1.0000001e-06,9.999993e-13,398.93756,-128,Maximum
