op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name
ABS,592,43520.0,30.5769,-4.296392,313.89053,956.6258,419.979,-128,pf_net_dense/IsInf1
PAD,603,43520.0,29.096313,-2.4089282,217.89969,855.5018,435.86954,-119,pf_net_dense/Pad
STRIDED_SLICE,607,2560.0,0.0,0.0,0.0,0.0,435.86954,-119,pf_net_dense/input_encoding_clic/strided_slice
STRIDED_SLICE,614,40960.0,0.0,0.0,0.0,0.0,435.86954,-119,pf_net_dense/input_encoding_clic/strided_slice_1
CONCATENATION,618,48640.0,0.22329685,-0.05263158,1.0,0.05263158,435.86954,-119,pf_net_dense/input_encoding_clic/concat
RESHAPE,629,48640.0,0.0,0.0,0.0,0.0,435.86954,-119,pf_net_dense/node_encoding/node_encoding_dense_0/Tensordot/Reshape
EXPAND_DIMS,636,2560.0,0.0,0.0,0.0,0.0,0.003921569,-128,pf_net_dense/ExpandDims
STRIDED_SLICE,645,2560.0,0.0,0.0,0.0,0.0,0.003921569,-128,pf_net_dense/strided_slice_51
RESHAPE,657,655360.0,61.816357,0.69056016,2272.2493,3836.312,1256.538,105,pf_net_dense/node_encoding/node_encoding_dense_0/Tensordot
ADD,661,655360.0,1.8603176,0.61610144,7.014615,3.8403602,1256.5376,105,pf_net_dense/node_encoding/node_encoding_dense_0/BiasAdd
GELU,665,655360.0,0.842779,0.019695118,50.50537,0.7142199,107.695724,-128,pf_net_dense/node_encoding/node_encoding_dense_0/Gelu/mul_1;pf_net_dense/Gelu/mul/x;pf_net_dense/node_encoding/node_encoding_dense_0/Gelu/mul;pf_net_dense/node_encoding/node_encoding_dense_0/Gelu/truediv;pf_net_dense/Gelu/Cast/x;pf_net_dense/node_encoding/node_encoding_dense_0/Gelu/Erf;pf_net_dense/Gelu/add/x;pf_net_dense/node_encoding/node_encoding_dense_0/Gelu/add
RESHAPE,676,655360.0,0.0,0.0,0.0,0.0,107.695724,-128,pf_net_dense/node_encoding/node_encoding_dense_1/Tensordot/Reshape
RESHAPE,682,655360.0,57.279045,0.8861145,461.7016,3301.0024,670.45557,55,pf_net_dense/node_encoding/node_encoding_dense_1/Tensordot
ADD,686,655360.0,0.72769403,0.12935713,6.147809,0.54627216,670.4528,55,pf_net_dense/node_encoding/node_encoding_dense_1/BiasAdd
GELU,690,655360.0,5.954024,0.4101089,86.23857,35.877457,189.12613,-128,pf_net_dense/Gelu/mul_1;pf_net_dense/Gelu/mul/x;pf_net_dense/Gelu/mul;pf_net_dense/node_encoding/node_encoding_dense_0/Gelu/truediv;pf_net_dense/Gelu/Cast/x;pf_net_dense/Gelu/truediv;pf_net_dense/Gelu/Cast/x;pf_net_dense/Gelu/Erf;pf_net_dense/Gelu/add/x;pf_net_dense/Gelu/add
ADD,699,2560.0,8253.836,-2984.9414,60650.02,77798340.0,88021.555,-128,pf_net_dense/cg_id_0/cg_id_0_layernorm1/batchnorm/add
RSQRT,703,2560.0,nan,-inf,inf,inf,0.0015432679,-128,pf_net_dense/cg_id_0/cg_id_0_layernorm1/batchnorm/Rsqrt
MUL,707,655360.0,0.0012804278,-8.201321e-05,0.0023234847,1.6462209e-06,0.0046363957,-128,pf_net_dense/cg_id_0/cg_id_0_layernorm1/batchnorm/mul
MUL,711,655360.0,17.617887,-1.0754988,466.956,314.5367,0.042178616,-126,pf_net_dense/cg_id_0/cg_id_0_layernorm1/batchnorm/mul_1
MUL,715,655360.0,2.6071393,-0.70146066,63.56784,7.365369,0.0055526276,-128,pf_net_dense/cg_id_0/cg_id_0_layernorm1/batchnorm/mul_2
SUB,719,655360.0,0.09420039,0.0022339462,1.1017376,0.008917232,0.0050793723,95,pf_net_dense/cg_id_0/cg_id_0_layernorm1/batchnorm/sub
ADD,723,655360.0,0.0136098815,0.0031113748,0.039408825,0.00019493303,0.045345236,-103,pf_net_dense/cg_id_0/cg_id_0_layernorm1/batchnorm/add_1
RESHAPE,734,655360.0,0.0,0.0,0.0,0.0,0.045345236,-103,pf_net_dense/cg_id_0/cg_id_0_ffn_dist/cg_id_0_ffn_dist_dense_0/Tensordot/Reshape
FULLY_CONNECTED,738,163840.0,3.9872653,0.3920159,60.163826,16.194256,0.23738296,29,pf_net_dense/cg_id_0/cg_id_0_ffn_dist/cg_id_0_ffn_dist_dense_0/Tensordot/MatMul1
RESHAPE,742,163840.0,0.0,0.0,0.0,0.0,0.23738296,29,pf_net_dense/cg_id_0/cg_id_0_ffn_dist/cg_id_0_ffn_dist_dense_0/Tensordot
ADD,746,163840.0,0.07409622,0.0010901296,0.5537384,0.0054916325,0.24316418,27,pf_net_dense/cg_id_0/cg_id_0_ffn_dist/cg_id_0_ffn_dist_dense_0/BiasAdd
RESHAPE,759,163840.0,0.02561285,-0.0012411177,0.0927124,0.00065757625,0.09887227,-118,pf_net_dense/cg_id_0/cg_id_0_ffn_dist/cg_id_0_ffn_dist_dense_1/Tensordot/Reshape
